Date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,precipitation_hours,wind_speed_10m_max,lat,lon
2025-11-14,1,27.2,14.6,20.8,0.0,0.0,10.4,18.6235,73.8079
2025-11-15,0,26.9,13.0,19.9,0.0,0.0,12.1,18.6235,73.8079
2025-11-16,0,26.7,13.3,19.7,0.0,0.0,15.2,18.6235,73.8079
2025-11-17,0,26.7,11.4,18.8,0.0,0.0,17.0,18.6235,73.8079
2025-11-18,0,26.5,10.8,18.8,0.0,0.0,17.9,18.6235,73.8079
2025-11-19,0,27.1,11.0,19.0,0.0,0.0,8.6,18.6235,73.8079
2025-11-20,1,27.5,11.8,19.8,0.0,0.0,13.4,18.6235,73.8079
2025-11-21,0,28.3,12.3,20.2,0.0,0.0,14.0,18.6235,73.8079
2025-11-22,2,30.1,15.2,22.0,0.0,0.0,13.4,18.6235,73.8079
2025-11-23,3,29.9,16.7,23.1,0.0,0.0,10.5,18.6235,73.8079
2025-11-24,3,30.4,17.1,23.7,0.0,0.0,9.5,18.6235,73.8079
2025-11-25,3,29.4,19.7,24.3,0.0,0.0,11.0,18.6235,73.8079
2025-11-26,3,29.5,20.2,24.3,0.0,0.0,13.6,18.6235,73.8079
2025-11-27,1,29.6,18.0,23.1,0.0,0.0,14.3,18.6235,73.8079
2025-11-28,3,29.2,16.6,23.1,0.0,0.0,18.3,18.6235,73.8079
2025-11-29,0,29.8,21.8,25.2,0.0,0.0,9.4,18.6235,73.8079
2025-11-30,1,29.4,21.0,24.8,0.0,0.0,10.4,18.6235,73.8079
2025-12-01,2,29.3,20.3,24.2,0.0,0.0,7.6,18.6235,73.8079
2025-12-02,3,29.4,19.9,24.0,0.0,0.0,9.5,18.6235,73.8079
2025-12-03,3,29.2,19.7,23.8,0.0,0.0,8.6,18.6235,73.8079
2025-12-04,0,29.5,20.2,24.1,0.0,0.0,9.8,18.6235,73.8079
2025-12-05,0,29.2,20.9,24.9,0.0,0.0,11.3,18.6235,73.8079
2025-12-06,3,29.6,21.5,25.2,0.0,0.0,12.7,18.6235,73.8079
